,,,0
cyrillic,georgia,"('cyrl.che', 'cyrl.em', 'cyrl.ze')",46.0
cyrillic,georgia,"('cyrl.che', 'cyrl.en', 'cyrl.i')",66.0
cyrillic,georgia,"('cyrl.che', 'cyrl.en', 'cyrl.ie')",56.0
cyrillic,georgia,"('cyrl.che', 'cyrl.en', 'cyrl.ze')",55.0
cyrillic,georgia,"('cyrl.che', 'cyrl.i', 'cyrl.ie')",39.0
cyrillic,georgia,"('cyrl.che', 'cyrl.i', 'cyrl.ze')",48.0
cyrillic,georgia,"('cyrl.che', 'cyrl.ie', 'cyrl.ze')",48.0
cyrillic,georgia,"('cyrl.ef', 'cyrl.em', 'cyrl.en')",74.0
cyrillic,georgia,"('cyrl.ef', 'cyrl.em', 'cyrl.i')",71.0
cyrillic,georgia,"('cyrl.ef', 'cyrl.em', 'cyrl.ie')",40.0
cyrillic,georgia,"('cyrl.ef', 'cyrl.em', 'cyrl.ze')",40.0
cyrillic,georgia,"('cyrl.ef', 'cyrl.en', 'cyrl.i')",69.0
cyrillic,georgia,"('cyrl.ef', 'cyrl.en', 'cyrl.ie')",33.0
cyrillic,georgia,"('cyrl.ef', 'cyrl.en', 'cyrl.ze')",36.0
cyrillic,georgia,"('cyrl.ef', 'cyrl.i', 'cyrl.ie')",37.0
cyrillic,georgia,"('cyrl.ef', 'cyrl.i', 'cyrl.ze')",36.0
cyrillic,georgia,"('cyrl.ef', 'cyrl.ie', 'cyrl.ze')",43.0
cyrillic,georgia,"('cyrl.em', 'cyrl.en', 'cyrl.i')",52.0
cyrillic,georgia,"('cyrl.em', 'cyrl.en', 'cyrl.ie')",71.0
cyrillic,georgia,"('cyrl.em', 'cyrl.en', 'cyrl.ze')",66.0
cyrillic,georgia,"('cyrl.em', 'cyrl.i', 'cyrl.ie')",65.0
cyrillic,georgia,"('cyrl.em', 'cyrl.i', 'cyrl.ze')",65.0
cyrillic,georgia,"('cyrl.em', 'cyrl.ie', 'cyrl.ze')",59.0
cyrillic,georgia,"('cyrl.en', 'cyrl.i', 'cyrl.ie')",65.0
cyrillic,georgia,"('cyrl.en', 'cyrl.i', 'cyrl.ze')",70.0
cyrillic,georgia,"('cyrl.en', 'cyrl.ie', 'cyrl.ze')",58.0
cyrillic,georgia,"('cyrl.i', 'cyrl.ie', 'cyrl.ze')",53.0
cyrillic,pt-sans,"('cyrl.e', 'cyrl.ghe', 'cyrl.ha')",41.0
